Словникова форма,част. мови,абс. частота,відн. частота
балакати,діє. н.в.,1 206,11
нещодавно,присл.,1 206,11
чорнявий,прикм.,1 205,11
сніп,ім.,1 205,11
неможливий,прикм.,1 205,11
засідання,ім.,1 205,11
пазуха,ім.,1 204,11
гриб,ім.,1 204,11
злегка,присл.,1 204,11
червоніти,діє. н.в.,1 203,11
панотець,ім.,1 203,11
неабиякий,прикм.,1 202,11
стривати,діє. н.в.,1 202,11
знизу,присл.,1 202,11
загадка,ім.,1 202,11
сумка,ім.,1 201,11
зошит,ім.,1 201,11
от-от,присл.,1 201,11
ребро,ім.,1 200,11
рішучий,прикм.,1 200,11
розгорнути,діє. д.в.,1 199,11
сидячи,присл.,1 199,11
вуйко,ім.,1 199,11
матеріальний,прикм.,1 198,11
задумливо,присл.,1 198,11
галактика,ім.,1 198,11
жаба,ім.,1 198,11
субота,ім.,1 197,11
стрункий,прикм.,1 197,11
філософія,ім.,1 196,11
паче,частка,1 196,11
доти,присл.,1 196,11
доріжка,ім.,1 196,11
Виговський,прізв.,1 194,11
посунути,діє. д.в.,1 194,11
вгорі,присл.,1 193,11
перетворюватися,діє. н.в.,1 193,11
батьківський,прикм.,1 192,11
рівень,ім.,1 192,11
птиця,ім.,1 192,11
потягти,діє. д.в.,1 191,11
невисокий,прикм.,1 191,11
тривожно,присл.,1 190,11
бомба,ім.,1 190,11
гадка,ім.,1 190,11
достатньо,присл.,1 189,11
грішний,прикм.,1 189,11
натрапити,діє. д.в.,1 189,11
злість,ім.,1 189,11
бандит,ім.,1 188,11
сокіл,ім.,1 188,11
відповідальність,ім.,1 187,11
погода,ім.,1 187,11
козацтво,ім.,1 187,11
Берлін,ім.,1 187,11
куточок,ім.,1 186,11
прикласти,діє. д.в.,1 186,11
повага,ім.,1 185,11
роза,ім.,1 185,11
передусім,присл.,1 185,11
милуватися,діє. н.в.,1 185,11
сходитися,діє. н.в.,1 185,11
скромний,прикм.,1 184,11
трагічний,прикм.,1 184,11
проказати,діє. д.в.,1 184,11
комплекс,ім.,1 183,11
обурення,ім.,1 183,11
бурхливий,прикм.,1 183,11
релігійний,прикм.,1 183,11
припущення,ім.,1 182,11
восени,присл.,1 182,11
збудувати,діє. д.в.,1 182,11
почервоніти,діє. д.в.,1 182,11
полюбити,діє. д.в.,1 181,11
шепіт,ім.,1 181,11
більшовик,ім.,1 181,11
юра,ім.,1 181,11
нікчемний,прикм.,1 181,11
січень,ім.,1 180,11
зайчик,ім.,1 180,11
стінка,ім.,1 180,11
навколишній,прикм.,1 179,11
завдати,діє. д.в.,1 179,11
сприйняти,діє. д.в.,1 179,11
закінчення,ім.,1 178,11
втома,ім.,1 178,11
Денис,ім.,1 178,11
орбіта,ім.,1 178,11
зацікавити,діє. д.в.,1 177,11
барвистий,прикм.,1 177,11
мучитися,діє. н.в.,1 177,11
купатися,діє. н.в.,1 177,11
плюнути,діє. д.в.,1 176,11
заява,ім.,1 176,11
триста,кіл. числ.,1 175,11
накинути,діє. д.в.,1 175,11
покарати,діє. д.в.,1 175,11
затремтіти,діє. д.в.,1 173,11
окремо,присл.,1 173,11
конкретний,прикм.,1 172,11
заспокоювати,діє. н.в.,1 172,11
слов'янин,ім.,1 172,11
зв'язаний,д-прикм.,1 171,11
заховати,діє. д.в.,1 170,11
структура,ім.,1 170,11
гімназія,ім.,1 169,11
полиця,ім.,1 169,11
шепотати,діє. н.в.,1 169,11
хаос,ім.,1 168,11
величність,ім.,1 168,11
тунель,ім.,1 168,11
влітку,присл.,1 168,11
відшукати,діє. д.в.,1 168,11
міркування,ім.,1 167,11
захоплено,присл.,1 167,11
колючий,прикм.,1 167,11
глибше,присл.,1 167,11
прийом,ім.,1 166,11
наробити,діє. д.в.,1 166,11
перебування,ім.,1 166,11
хлоп,ім.,1 165,11
полегшити,діє. д.в.,1 165,11
точний,прикм.,1 165,11
лишати,діє. н.в.,1 165,11
пастка,ім.,1 164,11
гігантський,прикм.,1 163,11
пульт,ім.,1 163,11
голубий,прикм.,1 162,11
напасти,діє. д.в.,1 162,11
їдальня,ім.,1 162,11
обідати,діє. н.в.,1 162,11
ярмарок,ім.,1 161,11
хапатися,діє. н.в.,1 161,11
Стратон,ім.,1 161,11
справити,діє. д.в.,1 160,11
сирота,ім.,1 160,11
чуття,ім.,1 160,11
оточення,ім.,1 160,11
створіння,ім.,1 158,11
подвиг,ім.,1 158,11
будиночок,ім.,1 157,11
буквально,присл.,1 156,11
ого,вигук,1 156,11
робот,ім.,1 155,11
обійняти,діє. д.в.,1 155,11
відчинений,д-прикм.,1 154,11
зростати,діє. н.в.,1 154,11
драбина,ім.,1 153,11
мідний,прикм.,1 153,11
мимо,прийм.,1 153,11
зайнятися,діє. д.в.,1 152,11
ген,присл.,1 152,11
адмірал,ім.,1 152,11
здати,діє. д.в.,1 152,11
бабця,ім.,1 151,11
зовні,присл.,1 151,11
папа,ім.,1 150,11
найти,діє. д.в.,1 150,11
заняття,ім.,1 150,11
конче,присл.,1 149,11
важити,діє. н.в.,1 148,11
ворухнутися,діє. д.в.,1 148,11
безглуздий,прикм.,1 148,11
фантастичний,прикм.,1 148,11
додатковий,прикм.,1 148,11
пасмо,ім.,1 148,11
нетерпляче,присл.,1 147,11
Варшава,ім.,1 147,11
пика,ім.,1 146,11
ковтати,діє. н.в.,1 146,11
мент,ім.,1 146,11
розсипатися,діє. н.в.,1 145,11
терен,ім.,1 145,11
відміна,ім.,1 144,11
прокляття,ім.,1 144,11
непогано,присл.,1 144,11
зроблений,д-прикм.,1 144,11
шовковий,прикм.,1 144,11
переставати,діє. н.в.,1 144,11
прихований,д-прикм.,1 144,11
Антоній,ім.,1 143,11
дивувати,діє. н.в.,1 143,11
насилу,присл.,1 143,11
січовий,прикм.,1 142,11
Чигирин,ім.,1 142,11
подітися,діє. д.в.,1 142,11
гілля,ім.,1 140,11
відзначити,діє. д.в.,1 140,11
даватися,діє. н.в.,1 139,11
зойк,ім.,1 139,11
поразка,ім.,1 139,11
ковбаса,ім.,1 138,11
кривий,прикм.,1 137,11
зруйнувати,діє. д.в.,1 137,11
Параска,ім.,1 137,11
острах,ім.,1 136,11
буря,ім.,1 136,11
чудний,прикм.,1 136,11
вдвох,присл.,1 136,11
поратися,діє. н.в.,1 136,11
замінити,діє. д.в.,1 136,11
публіка,ім.,1 136,11
привид,ім.,1 135,11
виносити,діє. н.в.,1 135,11
щелепа,ім.,1 135,11
надійти,діє. д.в.,1 135,11
завше,присл.,1 134,11
спеціально,присл.,1 134,11
сміливий,прикм.,1 134,11
добряче,присл.,1 133,11
помирати,діє. н.в.,1 133,11
порядний,прикм.,1 132,11
вкрасти,діє. д.в.,1 131,11
вихопитися,діє. д.в.,1 131,11
комітет,ім.,1 131,11
пробурмотіти,діє. д.в.,1 131,11
самотність,ім.,1 130,11
причому,спол.,1 130,11
кошик,ім.,1 130,11
гідність,ім.,1 130,11
залишок,ім.,1 130,11
МО,абр.,1 129,11
механізм,ім.,1 129,11
клітка,ім.,1 129,11
повинно,присудкове слово,1 129,11
вирушати,діє. н.в.,1 129,11
навчати,діє. н.в.,1 128,11
численний,прикм.,1 128,11
грудень,ім.,1 128,11
ступінь,ім.,1 128,11
схаменутися,діє. д.в.,1 127,11
незвичний,прикм.,1 126,11
геній,ім.,1 126,11
заливати,діє. н.в.,1 126,11
мислити,діє. н.в.,1 125,11
оточувати,діє. н.в.,1 125,11
примушувати,діє. н.в.,1 125,11
скажений,прикм.,1 125,11
зламати,діє. д.в.,1 124,11
здібність,ім.,1 123,11
націоналізм,ім.,1 122,11
птах,ім.,1 122,11
соня,ім.,1 122,11
полювати,діє. н.в.,1 121,11
технічний,прикм.,1 121,11
Дора,ім.,1 121,11
корисний,прикм.,1 121,11
тканина,ім.,1 120,11
метнутися,діє. д.в.,1 120,11
єпископ,ім.,1 119,11
шматочок,ім.,1 119,11
пілот,ім.,1 119,11
грамота,ім.,1 119,11
електричний,прикм.,1 119,11
слина,ім.,1 119,11
створений,д-прикм.,1 118,11
сітка,ім.,1 118,11
перстень,ім.,1 118,11
тяма,ім.,1 117,11
черево,ім.,1 116,11
залізняк,ім.,1 116,11
незнайомець,ім.,1 115,11
пірнути,діє. д.в.,1 115,11
ром,ім.,1 115,11
уві,прийм.,1 115,11
вигадка,ім.,1 115,11
ніжність,ім.,1 115,11
валятися,діє. н.в.,1 115,11
Сибір,ім.,1 114,11
салон,ім.,1 114,11
грак,ім.,1 114,11
Одарка,ім.,1 114,11
житель,ім.,1 114,11
аналіз,ім.,1 114,11
комір,ім.,1 113,11
чіплятися,діє. н.в.,1 113,11
ласкаво,присл.,1 112,11
затишний,прикм.,1 112,11
хитати,діє. н.в.,1 112,11
кривда,ім.,1 112,11
білявий,прикм.,1 112,11
надвечір,присл.,1 112,11
цифра,ім.,1 110,11
верх,ім.,1 110,11
доповісти,діє. д.в.,1 110,11
перенести,діє. д.в.,1 108,11
притулок,ім.,1 107,11
личко,ім.,1 107,11
місія,ім.,1 107,11
передача,ім.,1 106,11
погладити,діє. д.в.,1 106,11
втікач,ім.,1 106,11
боком,присл.,1 105,11
тисячоліття,ім.,1 105,11
замовити,діє. д.в.,1 104,11
нинішній,прикм.,1 103,11
втомитися,діє. д.в.,1 103,11
захистити,діє. д.в.,1 103,11
абсолютний,прикм.,1 102,11
узятися,діє. д.в.,1 102,11
лють,ім.,1 102,11
стиха,присл.,1 101,11
підписати,діє. д.в.,1 101,11
розірвати,діє. д.в.,1 100,11
пачка,ім.,1 099,11
Ярополк,ім.,1 099,11
Ганка,прізв.,1 099,11
варвар,ім.,1 099,11
Венера,ім.,1 099,11
потиснути,діє. д.в.,1 099,11
приїздити,діє. н.в.,1 098,11
електронний,прикм.,1 098,11
вилазити,діє. н.в.,1 097,11
потрібний,прикм.,1 097,11
просторий,прикм.,1 097,11
олівець,ім.,1 097,11
морда,ім.,1 096,11
пройтися,діє. д.в.,1 096,11
переслідувати,діє. н.в.,1 095,11
покликати,діє. д.в.,1 095,11
сумувати,діє. н.в.,1 094,11
велетень,ім.,1 094,11
прогулянка,ім.,1 093,11
завітати,діє. д.в.,1 093,11
уникати,діє. н.в.,1 093,11
ніготь,ім.,1 093,11
крига,ім.,1 093,11
судно,ім.,1 092,11
наважуватися,діє. н.в.,1 092,11
допитуватися,діє. н.в.,1 092,11
необхідно,присл.,1 092,11
підозрілий,прикм.,1 092,11
мотив,ім.,1 091,11
націоналістичний,прикм.,1 091,11
заворушитися,діє. д.в.,1 090,11
моряк,ім.,1 090,11
вуличка,ім.,1 090,11
наливати,діє. н.в.,1 090,11
інструмент,ім.,1 090,11
мавпа,ім.,1 090,11
міліціонер,ім.,1 088,11
боронити,діє. н.в.,1 088,11
зазвичай,присл.,1 088,11
дзвеніти,діє. н.в.,1 087,11
тремтячий,д-прикм.,1 086,11
певність,ім.,1 086,11
викидати,діє. н.в.,1 086,11
потвора,ім.,1 085,11
бавитися,діє. н.в.,1 085,11
місцевість,ім.,1 085,11
прилетіти,діє. д.в.,1 085,11
усміх,ім.,1 084,11
мартин,ім.,1 084,11
спілка,ім.,1 084,11
му,вигук,1 083,11
бар,ім.,1 083,11
колодязь,ім.,1 082,11
авторитет,ім.,1 082,11
майданчик,ім.,1 081,11
фашист,ім.,1 081,11
будова,ім.,1 081,11
закінчуватися,діє. н.в.,1 080,11
наступати,діє. н.в.,1 079,11
пароплав,ім.,1 078,11
нагору,присл.,1 078,11
відколи,присл.,1 078,11
рідина,ім.,1 078,11
телефонний,прикм.,1 078,11
канапа,ім.,1 078,11
предок,ім.,1 078,11
промовчати,діє. д.в.,1 077,11
краплина,ім.,1 077,11
потому,присл.,1 077,11
веснянка,ім.,1 077,11
сповнений,д-прикм.,1 076,11
будівництво,ім.,1 076,11
жадібно,присл.,1 075,11
цивільний,прикм.,1 075,11
лайка,ім.,1 074,11
прагнення,ім.,1 074,11
Артур,ім.,1 074,11
уміти,діє. н.в.,1 073,11
балачка,ім.,1 071,11
докір,ім.,1 071,11
приховати,діє. д.в.,1 071,11
втеча,ім.,1 071,11
потягнути,діє. д.в.,1 071,11
закурити,діє. д.в.,1 071,11
етап,ім.,1 071,11
спілкуватися,діє. н.в.,1 070,11
несамовитий,прикм.,1 069,11
депутат,ім.,1 068,11
з'їзд,ім.,1 068,11
демократія,ім.,1 067,11
намет,ім.,1 067,11
схвилювати,діє. д.в.,1 067,11
том,ім.,1 067,11
творець,ім.,1 067,11
вогкий,прикм.,1 066,11
хвилинка,ім.,1 066,11
непоганий,прикм.,1 066,11
безумовно,присл.,1 066,11
апостол,ім.,1 065,11
зважитися,діє. д.в.,1 065,11
температура,ім.,1 065,11
критися,діє. н.в.,1 065,11
камінець,ім.,1 065,11
Різдво,ім.,1 064,11
арешт,ім.,1 064,11
квапитися,діє. н.в.,1 063,11
кошт,ім.,1 063,11
відвернутися,діє. д.в.,1 063,11
недобре,присл.,1 062,11
яковий,прикм.,1 062,11
твердити,діє. н.в.,1 062,11
гриміти,діє. н.в.,1 061,11
Ірина,ім.,1 061,11
здатність,ім.,1 061,11
затриматися,діє. д.в.,1 061,11
опанувати,діє. д.в.,1 060,11
вочевидь,присл.,1 060,11
роками,присл.,1 060,11
плід,ім.,1 059,11
убогий,прикм.,1 059,11
самота,ім.,1 058,11
важливо,присл.,1 058,11
диск,ім.,1 058,11
пекельний,прикм.,1 058,11
півроку,ім.,1 058,11
версія,ім.,1 057,11
стоячи,присл.,1 057,11
набік,присл.,1 057,11
чайка,ім.,1 057,11
здивований,д-прикм.,1 057,11
виробництво,ім.,1 057,11
морок,ім.,1 056,11
умерти,діє. д.в.,1 056,11
падіння,ім.,1 056,11
безсилий,прикм.,1 056,11
ритм,ім.,1 056,11
труба,ім.,1 056,11
вадити,діє. н.в.,1 055,11
нестерпний,прикм.,1 055,11
проголосити,діє. д.в.,1 054,11
кість,ім.,1 054,11
перешкода,ім.,1 053,11
здоровенний,прикм.,1 053,11
чверть,ім.,1 053,11
вузол,ім.,1 053,11
круча,ім.,1 053,11
надумати,діє. д.в.,1 052,11
визволення,ім.,1 051,11
недбало,присл.,1 051,11
записувати,діє. н.в.,1 051,11
повзти,діє. н.в.,1 050,11
сукня,ім.,1 050,11
добути,діє. д.в.,1 050,11
страва,ім.,1 050,11
підступний,прикм.,1 050,11
долинати,діє. н.в.,1 049,11
сваритися,діє. н.в.,1 049,11
залізти,діє. д.в.,1 048,11
вити,діє. н.в.,1 048,11
колгоспний,прикм.,1 048,11
сутність,ім.,1 048,11
гомоніти,діє. н.в.,1 048,11
колонія,ім.,1 047,11
геніальний,прикм.,1 047,11
радше,присл.,1 047,11
штат,ім.,1 047,11
трамвай,ім.,1 047,11
під'їхати,діє. д.в.,1 046,11
свято,ім.,1 046,11
закласти,діє. д.в.,1 046,11
зрозумілий,д-прикм.,1 046,11
відомість,ім.,1 045,11
вимкнути,діє. д.в.,1 045,11
зважити,діє. д.в.,1 045,11
швиденько,присл.,1 044,11
середовище,ім.,1 044,11
мандрівник,ім.,1 044,11
півтора,кіл. числ.,1 044,11
кашкет,ім.,1 044,11
горіх,ім.,1 044,11
возити,діє. н.в.,1 044,11
вириватися,діє. н.в.,1 043,11
хаща,ім.,1 043,11
Кременчук,ім.,1 043,11
під'їзд,ім.,1 043,11
небезпечно,присл.,1 043,11
знаний,прикм.,1 042,11
радник,ім.,1 042,11
поза,ім.,1 041,11
тьотя,ім.,1 041,11
освіта,ім.,1 041,11
випадати,діє. н.в.,1 040,11
танути,діє. н.в.,1 040,11
дрімати,діє. н.в.,1 040,11
скакати,діє. н.в.,1 040,11
красти,діє. н.в.,1 039,11
отрута,ім.,1 039,11
лезо,ім.,1 039,11
шмат,ім.,1 039,11
придбати,діє. д.в.,1 038,11
інтелігенція,ім.,1 038,11
відбиватися,діє. н.в.,1 038,11
ліфт,ім.,1 038,11
показатися,діє. д.в.,1 037,11
щедрий,прикм.,1 037,11
борг,ім.,1 036,11
слухатися,діє. н.в.,1 036,11
гатити,діє. н.в.,1 036,11
перехреститися,діє. д.в.,1 036,11
Петербург,ім.,1 036,11
по-справжньому,присл.,1 036,11
загнати,діє. д.в.,1 035,11
затулити,діє. д.в.,1 035,11
тиснути,діє. н.в.,1 034,11
прогнати,діє. д.в.,1 034,11
витягати,діє. н.в.,1 034,11
незручно,присл.,1 034,11
прихід,ім.,1 034,11
проводжати,діє. н.в.,1 034,11
Людмила,ім.,1 033,11
сподівання,ім.,1 033,11
клацнути,діє. д.в.,1 033,11
поліцай,ім.,1 033,11
щільно,присл.,1 033,11
іронія,ім.,1 033,11
лаяти,діє. н.в.,1 032,11
цвіт,ім.,1 032,11
припадати,діє. н.в.,1 032,11
султанський,прикм.,1 032,11
облишити,діє. д.в.,1 032,11
родинний,прикм.,1 032,11
переконувати,діє. н.в.,1 031,11
стайня,ім.,1 031,11
ранній,прикм.,1 031,11
відмовити,діє. д.в.,1 031,11
посполитий,прикм.,1 031,11
зберегтися,діє. д.в.,1 031,11
братик,ім.,1 030,11
розрахунок,ім.,1 029,11
цариця,ім.,1 028,11
єврейський,прикм.,1 028,11
відсоток,ім.,1 028,11
перепрошувати,діє. н.в.,1 028,11
скіф,ім.,1 028,11
круто,присл.,1 028,11
вигадувати,діє. н.в.,1 028,11
клубок,ім.,1 027,11
стриматися,діє. д.в.,1 026,11
повезти,діє. д.в.,1 026,11
накрити,діє. д.в.,1 026,11
модель,ім.,1 026,11
темніти,діє. н.в.,1 026,11
розчинитися,діє. д.в.,1 026,11
клуня,ім.,1 025,11
добратися,діє. д.в.,1 025,11
гніватися,діє. н.в.,1 025,11
єство,ім.,1 024,11
четверо,кіл. числ.,1 024,11
прикро,присл.,1 024,11
рот,ім.,1 024,11
знищення,ім.,1 024,11
монета,ім.,1 024,11
вплив,ім.,1 023,11
єдність,ім.,1 023,11
наполягати,діє. н.в.,1 023,11
прохід,ім.,1 023,11
Прокіп,ім.,1 023,11
непорушний,прикм.,1 022,11
атомний,прикм.,1 022,11
впливати,діє. н.в.,1 022,11
нижчий,прикм.,1 022,11
відпускати,діє. н.в.,1 021,11
стрибок,ім.,1 020,11
недавній,прикм.,1 020,11
надалі,присл.,1 019,11
комунізм,ім.,1 019,11
коваль,ім.,1 018,11
вистава,ім.,1 018,11
раб,ім.,1 018,11
справедливий,прикм.,1 018,11
норма,ім.,1 018,11
солодко,присл.,1 017,11
застогнати,діє. д.в.,1 017,11
перетворити,діє. д.в.,1 016,11
Карпати,ім.,1 016,11
мандри,ім.,1 015,11
збудити,діє. д.в.,1 015,11
підморгнути,діє. д.в.,1 015,11
гучний,прикм.,1 014,11
видатний,прикм.,1 014,11
обуритися,діє. д.в.,1 014,11
проковтнути,діє. д.в.,1 014,11
яблуня,ім.,1 014,11
додолу,присл.,1 014,11
переможець,ім.,1 014,11
Степанович,ім.,1 013,11
знятися,діє. д.в.,1 013,11
вогняний,прикм.,1 013,11
тютюн,ім.,1 013,11
мандрувати,діє. н.в.,1 013,11
струмок,ім.,1 012,11
тиск,ім.,1 012,11
молоденький,прикм.,1 011,11
спиратися,діє. н.в.,1 011,11
гідний,прикм.,1 011,11
Нестор,ім.,1 010,11
пошта,ім.,1 009,11
линути,діє. н.в.,1 008,11
змагатися,діє. н.в.,1 008,11
непотрібний,прикм.,1 008,11
припустити,діє. д.в.,1 008,11
сміття,ім.,1 008,11
призначений,д-прикм.,1 007,11
уникнути,діє. д.в.,1 007,11
спромогтися,діє. д.в.,1 007,11
канцелярія,ім.,1 006,11
заборонити,діє. д.в.,1 006,11
польовий,прикм.,1 006,11
концерт,ім.,1 006,11
студентський,прикм.,1 006,11
випливати,діє. н.в.,1 005,11
повідомляти,діє. н.в.,1 005,11
підозрювати,діє. н.в.,1 004,11
приєднатися,діє. д.в.,1 003,11
кладовище,ім.,1 003,11
гребля,ім.,1 003,11
випростатися,діє. д.в.,1 003,11
мода,ім.,1 003,11
запевнити,діє. д.в.,1 002,11
завернути,діє. д.в.,1 002,11
візир,ім.,1 002,11
патріот,ім.,1 002,11
стеля,ім.,1 001,11
хвилювати,діє. н.в.,1 001,11
порт,ім.,1 001,11
повіки,присл.,1 001,11
згоден,прикм.,1 001,11
скрипка,ім.,1 001,11
Стамбул,ім.,1 001,11
долинути,діє. д.в.,1 000,11
інстинкт,ім.,1 000,11
руйнувати,діє. н.в.,1 000,11
ганьба,ім.,1 000,11
міститися,діє. н.в.,1 000,11
порушувати,діє. н.в.,1 000,11
недарма,присл.,999,11
Стратонович,ім.,999,11
нива,ім.,999,11
демократичний,прикм.,999,11
Азія,ім.,998,11
рукопис,ім.,998,11
ковтнути,діє. д.в.,998,11
хитатися,діє. н.в.,998,11
необхідність,ім.,997,11
проїхати,діє. д.в.,997,11
слідство,ім.,997,11
миттєво,присл.,995,11
чіткий,прикм.,995,11
шпигун,ім.,995,11
вижити,діє. д.в.,995,11
підводити,діє. н.в.,995,11
вибігти,діє. д.в.,994,11
Євангеліє,ім.,994,11
ілюзія,ім.,994,11
медичний,прикм.,994,11
вернути,діє. д.в.,994,11
кандидат,ім.,992,11
красний,прикм.,992,11
смердючий,прикм.,992,11
набриднути,діє. д.в.,991,11
обіцянка,ім.,991,11
груди,ім.,990,11
контора,ім.,990,11
спіймати,діє. д.в.,990,11
розвага,ім.,990,11
світ,ім.,989,11
виразний,прикм.,988,11
старець,ім.,988,11
виднітися,діє. н.в.,988,11
хребет,ім.,988,11
функція,ім.,987,11
марний,прикм.,987,11
хтозна,присл.,987,11
по-своєму,присл.,987,11
дискусія,ім.,986,11
забутий,д-прикм.,986,11
виблискувати,діє. н.в.,986,11
Наталя,ім.,986,11
діловий,прикм.,985,11
справляти,діє. н.в.,985,11
кобзар,ім.,985,11
набратися,діє. д.в.,985,11
відірвати,діє. д.в.,984,11
коротший,прикм.,984,11
кінчатися,діє. н.в.,984,11
доня,ім.,984,11
виключно,присл.,984,11
оглядатися,діє. н.в.,984,11
зрідка,присл.,983,11
святковий,прикм.,983,11
увімкнути,діє. д.в.,983,11
міністерство,ім.,983,11
листок,ім.,983,11
лякатися,діє. н.в.,982,11
дивізія,ім.,982,11
біліти,діє. н.в.,982,11
вузенький,прикм.,981,11
збірка,ім.,980,11
кипіти,діє. н.в.,979,11
побути,діє. д.в.,979,11
кремезний,прикм.,979,11
шлунок,ім.,979,11
заїхати,діє. д.в.,978,11
мрець,ім.,978,11
жменя,ім.,978,11
зойкнути,діє. д.в.,977,11
звання,ім.,977,11
роздратувати,діє. д.в.,977,11
підвал,ім.,976,11
оцінити,діє. д.в.,976,11
пакет,ім.,976,11
жаліти,діє. н.в.,975,11
візит,ім.,975,11
хвалити,діє. н.в.,975,11
змушений,д-прикм.,975,11
кінчик,ім.,974,11
сірник,ім.,973,11
сухо,присл.,973,11
пістоль,ім.,973,11
прикмета,ім.,972,11
достойний,прикм.,972,11
виказати,діє. д.в.,972,11
емоція,ім.,972,11
нора,ім.,972,11
гризти,діє. н.в.,971,11
народити,діє. д.в.,971,11
хвилька,ім.,971,11
пропадати,діє. н.в.,970,11
панич,ім.,970,11
зсередини,присл.,969,11
повстанський,прикм.,969,11
службовий,прикм.,968,11
Карпо,ім.,968,11
кара,ім.,968,11
привітати,діє. д.в.,968,11
приїжджати,діє. н.в.,967,11
подвійний,прикм.,967,11
Гітлер,прізв.,967,11
гойдатися,діє. н.в.,967,11
видовище,ім.,967,11
алея,ім.,966,11
зриватися,діє. н.в.,965,11
дарунок,ім.,965,11
повільний,прикм.,965,11
переклад,ім.,965,11
забагато,присл.,965,11
штурман,ім.,964,11
спостереження,ім.,964,11
заробляти,діє. н.в.,964,11
благородний,прикм.,964,11
обережний,прикм.,964,11
хатка,ім.,963,11
трон,ім.,963,11
ліпший,прикм.,962,11
вірно,присл.,962,11
підкинути,діє. д.в.,962,11
поема,ім.,961,11
погрожувати,діє. н.в.,960,11
пожартувати,діє. д.в.,960,11
остаточний,прикм.,960,11
легенький,прикм.,960,11
Лариса,ім.,960,11
блок,ім.,959,11
надходити,діє. н.в.,959,11
вражати,діє. н.в.,959,11
підпис,ім.,958,11
престол,ім.,958,11
потягнутися,діє. д.в.,958,11
поділитися,діє. д.в.,958,11
чоловічок,ім.,958,11
видко,присудкове слово,957,11
видихнути,діє. д.в.,957,11
подробиця,ім.,957,11
ніздря,ім.,957,11
судитися,діє. н.в.,957,11
Ігор,ім.,957,11
підготовка,ім.,956,11
оборона,ім.,956,11
вловити,діє. д.в.,956,11
поетичний,прикм.,956,11
валіза,ім.,956,11
впоратися,діє. д.в.,956,11
підіймати,діє. н.в.,955,11
матінка,ім.,954,11
чорніти,діє. н.в.,954,11
застати,діє. д.в.,954,11
пекучий,прикм.,954,11
виймати,діє. н.в.,954,11
християнин,ім.,954,11
лікувати,діє. н.в.,953,11
подалі,присл.,953,11
шістдесят,кіл. числ.,953,11
образити,діє. д.в.,953,11
напруження,ім.,952,11
немовля,ім.,952,11
ефект,ім.,952,11
вояк,ім.,951,11
філософський,прикм.,951,11
з-поміж,прийм.,951,11
смикнути,діє. д.в.,950,11
освітлений,д-прикм.,950,11
босий,прикм.,950,11
провалитися,діє. д.в.,950,11
дешевий,прикм.,950,11
впадати,діє. н.в.,949,11
міцніший,прикм.,949,11
рак,ім.,948,11
легенько,присл.,948,11
закохатися,діє. д.в.,946,11
журавель,ім.,946,11
Італія,ім.,946,11
забитися,діє. д.в.,946,11
Костянтин,ім.,945,11
височіти,діє. н.в.,945,11
невиразний,прикм.,945,11
русалка,ім.,945,11
радо,присл.,945,11
пробиватися,діє. д.в.,945,11
поставати,діє. н.в.,945,11
незбагненний,прикм.,945,11
втомлений,д-прикм.,944,11
податок,ім.,944,11
нищити,діє. н.в.,944,11
зручний,прикм.,944,11
старість,ім.,944,11
доторкнутися,діє. д.в.,944,11
жидівський,прикм.,943,11
видимий,прикм.,942,11
супроводжувати,діє. н.в.,942,11
барон,ім.,941,11
покрутити,діє. д.в.,941,11
проминути,діє. д.в.,941,11
верхи,присл.,941,11
сприяти,діє. н.в.,941,11
горище,ім.,941,11
відвідувач,ім.,941,11
барак,ім.,940,11
ридати,діє. н.в.,940,11
напередодні,присл.,939,11
будити,діє. н.в.,939,11
піна,ім.,939,11
розкіш,ім.,939,11
стріха,ім.,939,11
атож,частка,938,11
Мар'ян,ім.,938,11
викладати,діє. н.в.,938,11
співробітник,ім.,937,11
хлопчина,ім.,936,11
тупий,прикм.,936,11
уперти,діє. д.в.,935,11
ділитися,діє. н.в.,935,11
сковорода,ім.,935,11
Одеса,ім.,934,11
витримувати,діє. н.в.,934,11
коли-небудь,присл.,933,11
наглядач,ім.,933,11
сріблястий,прикм.,933,11
тицьнути,діє. д.в.,933,11
здіймати,діє. н.в.,933,11
вертати,діє. н.в.,933,11
підземелля,ім.,932,11
захоплюватися,діє. н.в.,932,11
чудесний,прикм.,932,11
карати,діє. н.в.,932,11
досягнення,ім.,932,11
змінювати,діє. н.в.,931,11
калина,ім.,931,11
дівча,ім.,930,11
дача,ім.,929,11
вступати,діє. н.в.,929,11
балка,ім.,928,11
перекласти,діє. д.в.,928,11
доглядати,діє. н.в.,927,11
зять,ім.,927,11
взимку,присл.,927,11
жандарм,ім.,926,11
дотик,ім.,926,11
пилюка,ім.,926,11
змінюватися,діє. н.в.,926,11
розмірковувати,діє. н.в.,926,11
перекинутися,діє. д.в.,925,11
землянка,ім.,925,11
полюбляти,діє. н.в.,925,11
підліток,ім.,924,11
противник,ім.,924,11
межи,прийм.,924,11
крихітний,прикм.,924,11
ризикувати,діє. н.в.,923,11
сором,ім.,923,11
коник,ім.,923,11
воліти,діє. н.в.,923,11
підказати,діє. д.в.,922,11
галера,ім.,922,11
портфель,ім.,922,11
хор,ім.,922,11
сталевий,прикм.,922,11
Миколай,ім.,921,11
